accuracy,precision,recall,predicted tile
0.9,0.7,0.65625,30
0.915,0.7777777777777778,0.65625,27
0.895,0.7741935483870968,0.631578947368421,31
0.84,0.7222222222222222,0.5416666666666666,36
0.855,0.8064516129032258,0.5208333333333334,31
0.905,0.6285714285714286,0.7857142857142857,35
0.92,0.85,0.5666666666666667,20
0.93,0.9375,0.5357142857142857,16
0.895,1.0,0.475,19
0.915,0.8260869565217391,0.59375,23
0.875,0.7586206896551724,0.55,29
0.82,0.625,0.625,48
0.92,0.6176470588235294,0.875,34
0.93,0.6551724137931034,0.8260869565217391,29
0.86,0.6578947368421053,0.625,38
0.84,0.6842105263157895,0.5652173913043478,38
0.895,0.6666666666666666,0.6875,33
0.885,0.6046511627906976,0.8125,43
0.82,0.625,0.625,48
0.98,1.0,0.6666666666666666,8
0.905,1.0,0.4722222222222222,17
0.88,0.9090909090909091,0.47619047619047616,22
0.915,0.8947368421052632,0.53125,19
0.92,0.95,0.5588235294117647,20
0.87,0.9545454545454546,0.45652173913043476,22
0.885,0.7096774193548387,0.6111111111111112,31
0.84,0.7222222222222222,0.5416666666666666,36
0.845,0.7428571428571429,0.5416666666666666,35
0.9,0.6875,0.6875,32
0.99,0.8,1.0,10
0.915,0.8947368421052632,0.53125,19
0.915,0.8571428571428571,0.5625,21
0.92,0.9444444444444444,0.53125,18
0.92,0.9444444444444444,0.53125,18
0.86,0.9166666666666666,0.4583333333333333,24
0.86,0.9166666666666666,0.4583333333333333,24
0.86,0.8846153846153846,0.4791666666666667,26
0.88,0.8076923076923077,0.525,26
0.915,0.8260869565217391,0.59375,23
0.915,0.8260869565217391,0.59375,23
0.86,0.9166666666666666,0.4583333333333333,24
0.86,0.9166666666666666,0.4583333333333333,24
0.86,0.9166666666666666,0.4583333333333333,24
0.86,0.9166666666666666,0.4583333333333333,24
0.865,0.9565217391304348,0.4583333333333333,23
0.895,0.8695652173913043,0.5263157894736842,23
0.92,0.9090909090909091,0.5882352941176471,22
0.86,0.9166666666666666,0.4583333333333333,24
0.86,0.9166666666666666,0.4583333333333333,24
0.86,0.9166666666666666,0.4583333333333333,24
0.86,0.9166666666666666,0.4583333333333333,24
0.865,0.9565217391304348,0.4583333333333333,23
0.865,0.92,0.4791666666666667,25
0.86,0.9166666666666666,0.4583333333333333,24
0.86,0.9166666666666666,0.4583333333333333,24
0.865,1.0,0.4375,21
0.865,0.9565217391304348,0.4583333333333333,23
0.86,0.9166666666666666,0.4583333333333333,24
0.86,0.9166666666666666,0.4583333333333333,24
0.865,0.92,0.4791666666666667,25
0.86,0.9166666666666666,0.4583333333333333,24
0.86,0.9166666666666666,0.4583333333333333,24
0.86,0.9166666666666666,0.4583333333333333,24
0.9,0.7,0.65625,30
0.9,0.7,0.65625,30
