accuracy,precision,recall,predicted tile
0.85,0.6730769230769231,0.7291666666666666,52
0.855,0.8275862068965517,0.5,29
0.825,0.6444444444444445,0.6041666666666666,45
0.83,0.6590909090909091,0.6041666666666666,44
0.84,0.7222222222222222,0.5416666666666666,36
0.865,0.8620689655172413,0.5208333333333334,29
0.84,0.7105263157894737,0.5625,38
0.865,0.9565217391304348,0.4583333333333333,23
0.83,0.675,0.5625,40
0.83,0.6666666666666666,0.5833333333333334,42
0.855,0.8518518518518519,0.4791666666666667,27
0.86,0.9166666666666666,0.4583333333333333,24
0.87,0.9583333333333334,0.4791666666666667,24
0.885,0.8787878787878788,0.6041666666666666,33
0.91,0.7142857142857143,0.6666666666666666,28
0.845,0.7575757575757576,0.5208333333333334,33
0.84,0.6904761904761905,0.6041666666666666,42
0.98,0.9,0.75,10
0.835,0.6744186046511628,0.6041666666666666,43
0.96,0.7272727272727273,0.8888888888888888,22
0.84,0.7352941176470589,0.5208333333333334,34
0.9,0.6052631578947368,0.8214285714285714,38
0.88,0.6666666666666666,0.6666666666666666,36
0.865,1.0,0.4375,21
0.83,0.6666666666666666,0.5833333333333334,42
0.98,0.75,1.0,16
0.835,0.6923076923076923,0.5625,39
0.95,0.7894736842105263,0.7142857142857143,19
0.925,0.6451612903225806,0.8333333333333334,31
0.93,0.6785714285714286,0.7916666666666666,28
0.99,0.8181818181818182,1.0,11
0.805,0.5714285714285714,0.75,63
0.865,1.0,0.4375,21
0.82,0.6153846153846154,0.6666666666666666,52
0.86,0.8846153846153846,0.4791666666666667,26
0.915,0.8571428571428571,0.5625,21
0.96,0.9285714285714286,0.8125,28
0.89,0.631578947368421,0.75,38
0.895,0.6571428571428571,0.71875,35
0.89,0.6388888888888888,0.71875,36
0.89,0.6388888888888888,0.71875,36
0.905,0.7241379310344828,0.65625,29
0.88,0.5909090909090909,0.8125,44
0.915,0.8947368421052632,0.53125,19
0.9,0.7,0.65625,30
0.915,0.8947368421052632,0.53125,19
0.89,0.631578947368421,0.75,38
0.89,0.631578947368421,0.75,38
0.89,0.6388888888888888,0.71875,36
0.905,0.7407407407407407,0.625,27
0.88,0.5909090909090909,0.8125,44
0.895,0.6410256410256411,0.78125,39
0.9,0.6875,0.6875,32
0.9,0.6578947368421053,0.78125,38
0.915,0.8260869565217391,0.59375,23
0.89,0.631578947368421,0.75,38
0.88,0.5909090909090909,0.8125,44
0.895,0.6571428571428571,0.71875,35
0.89,0.6388888888888888,0.71875,36
0.915,0.7419354838709677,0.71875,31
0.915,0.7777777777777778,0.65625,27
0.92,1.0,0.5,16
0.865,1.0,0.4375,21
0.845,0.7297297297297297,0.5625,37
0.855,0.8064516129032258,0.5208333333333334,31
0.855,0.8064516129032258,0.5208333333333334,31
0.875,0.7804878048780488,0.6666666666666666,41
