accuracy,precision,recall,predicted tile
0.915,0.8974358974358975,0.7291666666666666,39
0.875,0.7931034482758621,0.5476190476190477,29
0.975,0.7058823529411765,1.0,17
0.92,0.6176470588235294,0.875,34
0.975,0.7058823529411765,1.0,17
0.97,0.8125,0.8125,16
0.89,0.6764705882352942,0.6764705882352942,34
0.855,0.8518518518518519,0.4791666666666667,27
0.955,0.68,0.9444444444444444,25
0.905,0.7407407407407407,0.625,27
0.875,0.5686274509803921,0.90625,51
0.88,0.58,0.90625,50
0.945,0.6666666666666666,0.9,27
0.945,0.9333333333333333,0.5833333333333334,15
0.945,0.7619047619047619,0.7272727272727273,21
0.925,0.6451612903225806,0.8333333333333334,31
0.96,0.6666666666666666,1.0,24
0.925,0.6451612903225806,0.8333333333333334,31
0.94,0.8333333333333334,0.625,18
1.0,1.0,1.0,3
0.87,0.7222222222222222,0.6190476190476191,36
0.885,0.7878787878787878,0.6190476190476191,33
0.85,0.75,0.5625,36
0.825,0.6382978723404256,0.625,47
0.84,0.7,0.5833333333333334,40
0.98,0.7857142857142857,0.9166666666666666,14
0.865,0.9565217391304348,0.4583333333333333,23
0.85,0.6666666666666666,0.6363636363636364,42
0.96,0.6818181818181818,0.9375,22
0.96,0.6818181818181818,0.9375,22
0.94,0.6333333333333333,0.95,30
0.89,0.6388888888888888,0.71875,36
0.88,0.6764705882352942,0.6388888888888888,34
0.87,1.0,0.43478260869565216,20
0.89,0.6190476190476191,0.8125,42
0.875,0.5714285714285714,0.875,49
0.885,0.6097560975609756,0.78125,41
0.915,0.8260869565217391,0.59375,23
0.925,0.84,0.65625,25
0.91,0.7916666666666666,0.59375,24
0.915,0.8947368421052632,0.53125,19
0.895,0.6486486486486487,0.75,37
0.89,0.625,0.78125,40
0.9,0.7,0.65625,30
0.9,0.7,0.65625,30
0.915,0.8260869565217391,0.59375,23
0.915,0.8571428571428571,0.5625,21
0.895,0.6571428571428571,0.71875,35
0.91,0.7692307692307693,0.625,26
0.905,0.7407407407407407,0.625,27
0.895,0.6666666666666666,0.6875,33
0.89,0.6388888888888888,0.71875,36
0.9,0.6875,0.6875,32
0.915,0.8947368421052632,0.53125,19
0.905,0.6756756756756757,0.78125,37
0.895,0.84,0.5526315789473685,25
0.895,0.6571428571428571,0.71875,35
0.89,0.631578947368421,0.75,38
0.895,0.6410256410256411,0.78125,39
0.91,0.6842105263157895,0.8125,38
0.895,0.6511627906976745,0.8235294117647058,43
0.865,0.9565217391304348,0.4583333333333333,23
0.86,0.9166666666666666,0.4583333333333333,24
0.85,0.725,0.6041666666666666,40
0.86,0.9166666666666666,0.4583333333333333,24
0.88,0.9615384615384616,0.5208333333333334,26
0.89,0.782608695652174,0.75,46
