accuracy,precision,recall,predicted tile
0.91,0.7916666666666666,0.59375,24
0.905,0.7407407407407407,0.625,27
0.915,0.8947368421052632,0.53125,19
0.905,0.7407407407407407,0.625,27
0.885,0.6153846153846154,0.75,39
0.915,0.8,0.625,25
0.86,0.8571428571428571,0.5,28
0.9,0.75,0.6176470588235294,28
0.9,0.7,0.65625,30
0.885,0.6097560975609756,0.78125,41
0.98,0.7857142857142857,0.9166666666666666,14
0.865,1.0,0.4375,21
0.945,0.68,0.85,25
0.85,0.6944444444444444,0.5681818181818182,36
0.97,0.7142857142857143,0.8333333333333334,14
0.895,0.5813953488372093,0.8928571428571429,43
0.935,0.72,0.75,25
0.935,0.7391304347826086,0.7083333333333334,23
0.93,0.6785714285714286,0.7916666666666666,28
0.86,0.7222222222222222,0.5909090909090909,36
0.885,0.6046511627906976,0.8125,43
0.975,0.7058823529411765,1.0,17
0.83,0.675,0.5625,40
0.845,0.7073170731707317,0.6041666666666666,41
0.875,0.96,0.5,25
0.89,0.6388888888888888,0.71875,36
0.89,0.625,0.78125,40
0.92,1.0,0.5,16
0.87,0.71875,0.575,32
1.0,1.0,1.0,4
0.87,0.6666666666666666,0.631578947368421,36
0.875,0.5714285714285714,0.875,49
0.84,0.5714285714285714,0.8,56
0.9,0.7,0.65625,30
0.89,0.6388888888888888,0.71875,36
0.895,0.6666666666666666,0.6875,33
0.9,0.6764705882352942,0.71875,34
0.885,0.6153846153846154,0.75,39
0.895,0.6571428571428571,0.71875,35
0.93,1.0,0.5625,18
0.88,0.5909090909090909,0.8125,44
0.875,0.5714285714285714,0.875,49
0.88,0.5909090909090909,0.8125,44
0.915,0.8571428571428571,0.5625,21
0.915,0.7419354838709677,0.71875,31
0.915,0.7586206896551724,0.6875,29
0.935,0.9523809523809523,0.625,21
0.91,0.75,0.65625,28
0.915,0.7142857142857143,0.78125,35
0.89,0.6388888888888888,0.71875,36
0.885,0.7419354838709677,0.6052631578947368,31
0.895,0.84,0.5526315789473685,25
0.93,0.875,0.65625,24
0.915,0.7419354838709677,0.71875,31
0.9,0.7,0.65625,30
0.905,0.7407407407407407,0.625,27
0.9,0.8636363636363636,0.5277777777777778,22
0.91,0.7692307692307693,0.625,26
0.925,0.8148148148148148,0.6875,27
0.895,0.6666666666666666,0.6875,33
0.92,0.9444444444444444,0.53125,18
0.915,0.8,0.625,25
0.89,0.6388888888888888,0.71875,36
0.88,0.6666666666666666,0.7368421052631579,42
0.84,0.7222222222222222,0.5416666666666666,36
0.865,0.6666666666666666,0.65,39
0.895,0.6222222222222222,0.875,45
0.9,0.7,0.65625,30
0.885,0.9032258064516129,0.5833333333333334,31
0.89,0.8421052631578947,0.6666666666666666,38
0.865,0.9565217391304348,0.4583333333333333,23
0.88,1.0,0.5,24
0.91,0.8571428571428571,0.75,42
