accuracy,precision,recall,predicted tile
0.895,0.6666666666666666,0.6875,33
0.91,0.7692307692307693,0.625,26
0.93,0.6060606060606061,0.9523809523809523,33
0.94,0.6923076923076923,0.8181818181818182,26
0.965,0.7368421052631579,0.875,19
0.985,0.8181818181818182,0.9,11
0.995,0.8571428571428571,1.0,7
0.94,0.8333333333333334,0.625,18
0.97,0.75,0.75,12
0.835,0.6744186046511628,0.6041666666666666,43
0.945,0.8421052631578947,0.6666666666666666,19
0.905,0.6756756756756757,0.78125,37
0.965,0.7368421052631579,0.875,19
0.89,0.6388888888888888,0.71875,36
0.97,0.5,1.0,12
0.9,0.7,0.65625,30
0.88,0.631578947368421,0.7058823529411765,38
0.905,0.8260869565217391,0.5588235294117647,23
0.91,0.7692307692307693,0.625,26
0.915,0.8947368421052632,0.53125,19
0.885,0.6153846153846154,0.75,39
0.915,0.8260869565217391,0.59375,23
0.945,0.68,0.85,25
0.91,0.7916666666666666,0.59375,24
0.915,0.8260869565217391,0.59375,23
0.885,0.6097560975609756,0.78125,41
0.99,1.0,0.75,6
0.88,0.5909090909090909,0.8125,44
0.82,0.625,0.625,48
0.83,0.6304347826086957,0.6304347826086957,46
0.915,0.6896551724137931,0.7142857142857143,29
0.885,0.6153846153846154,0.75,39
0.89,0.6388888888888888,0.71875,36
0.95,0.75,0.75,20
0.845,0.717948717948718,0.5833333333333334,39
0.815,0.6,0.6875,55
0.805,0.576271186440678,0.7083333333333334,59
0.995,0.8571428571428571,1.0,7
0.82,0.62,0.6458333333333334,50
0.86,0.6086956521739131,0.7368421052631579,46
0.95,0.75,0.75,20
0.835,0.6585365853658537,0.5869565217391305,41
0.855,0.3333333333333333,0.6111111111111112,33
0.925,0.76,0.6785714285714286,25
0.905,0.7407407407407407,0.625,27
0.895,0.6571428571428571,0.71875,35
0.895,0.6666666666666666,0.6875,33
0.89,0.6388888888888888,0.71875,36
0.98,0.7857142857142857,0.9166666666666666,14
0.935,0.7391304347826086,0.7083333333333334,23
0.895,0.6666666666666666,0.6875,33
0.855,0.6756756756756757,0.5952380952380952,37
0.95,0.7272727272727273,0.8,22
0.995,0.8571428571428571,1.0,7
0.845,0.7575757575757576,0.5208333333333334,33
0.96,0.6818181818181818,0.9375,22
0.905,0.7407407407407407,0.625,27
0.905,0.7407407407407407,0.625,27
0.875,0.8709677419354839,0.5625,31
0.845,0.7428571428571429,0.5416666666666666,35
0.9,0.868421052631579,0.6875,38
