accuracy,precision,recall,predicted tile
0.98,0.9,0.75,10
0.87,0.625,0.6944444444444444,40
0.885,0.6153846153846154,0.75,39
0.905,0.7407407407407407,0.625,27
0.905,0.7241379310344828,0.65625,29
0.84,0.7352941176470589,0.5208333333333334,34
0.845,0.7575757575757576,0.5208333333333334,33
0.8,0.5625,0.75,64
0.82,0.625,0.625,48
0.785,0.5342465753424658,0.8125,73
0.82,0.625,0.625,48
0.855,0.8275862068965517,0.5,29
0.905,0.7407407407407407,0.625,27
0.835,0.7027027027027027,0.5416666666666666,37
0.9,0.7,0.65625,30
0.905,0.7096774193548387,0.6875,31
0.885,0.6153846153846154,0.75,39
0.88,1.0,0.45454545454545453,20
0.84,0.5666666666666667,0.85,60
0.885,0.5957446808510638,0.875,47
0.9,0.7,0.65625,30
0.91,0.7916666666666666,0.59375,24
0.84,0.7222222222222222,0.5416666666666666,36
0.975,1.0,0.6428571428571429,9
0.97,0.8125,0.8125,16
0.895,0.6666666666666666,0.6875,33
0.875,0.5714285714285714,0.875,49
0.885,0.6153846153846154,0.75,39
1.0,1.0,1.0,4
0.915,0.8260869565217391,0.59375,23
0.915,0.7777777777777778,0.65625,27
0.875,0.5714285714285714,0.875,49
0.91,0.7692307692307693,0.625,26
0.92,1.0,0.5,16
0.9,0.6578947368421053,0.78125,38
0.88,0.5909090909090909,0.8125,44
0.89,0.6388888888888888,0.71875,36
0.905,0.6444444444444445,0.90625,45
0.96,0.6666666666666666,1.0,24
0.915,0.8947368421052632,0.53125,19
0.92,0.7352941176470589,0.78125,34
0.885,0.6097560975609756,0.78125,41
0.905,0.7407407407407407,0.625,27
0.9,0.6875,0.6875,32
0.91,0.7916666666666666,0.59375,24
0.915,0.8571428571428571,0.5625,21
0.9,0.6875,0.6875,32
0.905,0.7241379310344828,0.65625,29
0.91,0.7692307692307693,0.625,26
0.905,0.7407407407407407,0.625,27
0.895,0.6666666666666666,0.6875,33
0.925,0.8695652173913043,0.625,23
0.915,0.8947368421052632,0.53125,19
0.895,0.6410256410256411,0.78125,39
0.93,0.875,0.65625,24
0.855,0.7878787878787878,0.5416666666666666,33
0.865,0.7692307692307693,0.625,39
0.945,0.8,0.875,35
0.92,0.7105263157894737,0.84375,38
0.905,0.7073170731707317,0.8055555555555556,41
0.83,0.675,0.5625,40
0.975,0.7058823529411765,1.0,17
0.9,0.7352941176470589,0.6944444444444444,34
0.85,0.75,0.5625,36
0.845,0.7027027027027027,0.5652173913043478,37
0.83,0.64,0.6666666666666666,50
