accuracy,precision,recall,predicted tile
0.91,0.75,0.65625,28
0.895,0.6666666666666666,0.6875,33
0.91,0.75,0.65625,28
0.925,0.84,0.65625,25
0.89,0.625,0.78125,40
0.895,0.6666666666666666,0.6875,33
0.915,0.8947368421052632,0.53125,19
0.905,0.7407407407407407,0.625,27
0.91,0.7692307692307693,0.625,26
0.875,0.84,0.5,25
0.86,0.9166666666666666,0.4583333333333333,24
0.995,0.8,1.0,5
0.89,0.6388888888888888,0.71875,36
0.89,0.631578947368421,0.75,38
0.895,0.6666666666666666,0.6875,33
0.91,0.7916666666666666,0.59375,24
0.9,0.6052631578947368,0.8214285714285714,38
0.84,0.7352941176470589,0.5208333333333334,34
0.84,0.7105263157894737,0.5625,38
0.88,0.8461538461538461,0.5238095238095238,26
0.855,0.8518518518518519,0.4791666666666667,27
0.87,0.9583333333333334,0.4791666666666667,24
0.875,0.8285714285714286,0.6041666666666666,35
0.91,0.7916666666666666,0.59375,24
0.995,0.8,1.0,5
0.885,0.6153846153846154,0.75,39
0.895,0.6222222222222222,0.875,45
0.825,0.6274509803921569,0.6666666666666666,51
0.89,0.7857142857142857,0.5789473684210527,28
0.83,0.675,0.5625,40
0.825,0.6382978723404256,0.625,47
0.82,0.62,0.6458333333333334,50
0.82,0.625,0.625,48
0.82,0.625,0.625,48
0.825,0.576271186440678,0.7727272727272727,59
0.765,0.5058823529411764,0.8958333333333334,85
0.895,0.6666666666666666,0.6875,33
0.89,0.631578947368421,0.75,38
0.87,0.5555555555555556,0.9375,54
0.905,0.7407407407407407,0.625,27
0.915,0.8947368421052632,0.53125,19
0.9,0.7,0.65625,30
0.885,0.6097560975609756,0.78125,41
0.915,0.8571428571428571,0.5625,21
0.895,0.6571428571428571,0.71875,35
0.895,0.6571428571428571,0.71875,35
0.96,0.6818181818181818,0.9375,22
0.915,0.8571428571428571,0.5625,21
0.88,0.8076923076923077,0.525,26
0.845,0.7428571428571429,0.5416666666666666,35
0.92,0.6176470588235294,0.875,34
0.925,0.6451612903225806,0.8333333333333334,31
0.94,0.8,0.6666666666666666,20
0.975,0.6666666666666666,0.8888888888888888,12
0.835,0.7027027027027027,0.5416666666666666,37
0.96,0.6818181818181818,0.9375,22
0.89,0.6388888888888888,0.71875,36
0.9,0.6578947368421053,0.78125,38
0.885,0.6,0.84375,45
0.885,0.6153846153846154,0.75,39
0.89,0.9642857142857143,0.5625,28
0.84,0.7222222222222222,0.5416666666666666,36
0.895,0.7586206896551724,0.6111111111111112,29
0.905,0.8536585365853658,0.7291666666666666,41
